2026-03-29 20:35:32.833 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{"relaxation_warning_value":100},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:32.838 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:32.840 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{"relaxation_warning_value":100},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:32.842 | ZhQuery | getPressureModeSettings api=SWBRMonitor state=SUCCEED
2026-03-29 20:35:32.843 | ZhQuery | getPressureModeSettings api=SWBRMonitor state=SUCCEED
2026-03-29 20:35:32.845 | AlertVM | handleQueryCallback type=PressureModeSettingsObtained
2026-03-29 20:35:32.846 | AlertVM | pressure query matchesStored=true pending=false phase=null
2026-03-29 20:35:32.848 | AlertVM | pressure query value={"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false}
2026-03-29 20:35:32.849 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:32.850 | AlertVM | handleQueryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:32.855 | AlertVM | support feature=RELAXATION_PROMPT supported=true
2026-03-29 20:35:32.856 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:33.140 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:33.149 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:33.152 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:33.436 | ZhQuery | getSleepReminder state=NOT_SUPPORT
2026-03-29 20:35:33.438 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:33.440 | AlertService | onAlertFeatureUnsupported feature=SLEEP_REMINDER
2026-03-29 20:35:33.441 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{"relaxation_warning_value":100},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":false,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:33.446 | ZhQuery | getSleepReminder state=NOT_SUPPORT
2026-03-29 20:35:33.448 | AlertService | queryCallback type=AlertFeatureSupportObtained
